PLANILHA ENVIADA 04/02;
Gostaria de mais informações;Certo, para que possa ajuda-lo melhor, qual de nossos empreendimentos te interessou mais? O VIND ou o Yarden?
O VIND;Excelente. O VIND é apartamento boutique, localizado na rua José Pereira da Costa, 547. Próximo à Cerro Azul e Nildo Ribeiro, com 2 suítes e uma área de lazer completa. Você conhece essa região?
Qual a localização do VIND?;O VIND fica localizado na rua José Pereira da Costa, 547. Próximo à Cerro Azul e Nildo Ribeiro, a 6 minutos da Unicesumar e 5 minutos da Catedral. Você conhece essa região?
Quantos M² tem o VIND?;O VIND é um compacto de luxo com 67M², todos os apartamentos com 2 suites, sacada ampla e churrasqueira a carvão. Vamos agendar uma visita para que você conheça nosso apartamento decorado?
Qual a data de entrega do VIND?;O VIND será entregue no primeiro semestre de 2027. Essa data atende suas expectativas?
Você tem a planta do VIND?;Tenho uma opção melhor. O VIND possui um decorado que esta localizado na construtora Trifold, assim você pode conhecer o espaço e a planta integralmente. Vamos agendar sua visita?
Existe alguma promoção ou desconto disponível?;As condições de pagamento são flexíveis e podem ser personalizadas. Vamos agendar uma visita para fazer uma simulação de pagamento para você?
Qual o valor do VIND?;Os valores variam de acordo com a unidade escolhida, altura, 1 ou 2 vagas de garagem. Vamos agendar uma visita para que um de nossos especialistas te passe mais informações?
Tem fotos do VIND;Vou te encaminhar algumas imagens, mas podemos te apresentar o projeto completo, inclusive o nosso apartamento decorado. Qual melhor horário pra você fazer essa visita?
Qual o valor da entrada?;As condições de pagamento são flexíveis e podem ser personalizadas, inclusive a entrada. Vamos agendar uma visita para fazer uma simulação de pagamento para você?
Qual o valor da parcela?;As condições de pagamento são flexíveis e podem ser personalizadas, inclusive as parcelas. Vamos agendar uma visita para fazer uma simulação de pagamento para você?
O YARDEN;Excelente. O YARDEN é o nosso sucesso de vendas. Apartamentos com opção de 2 ou 3 dormitórios, todos com suite. Uma área de lazer completa com acabamento de alto padrão? Vamos agendar para você conhecer o projeto?
Qual a localização do YARDEN?;O YARDEN fica localizado Gleba Itororó, ao lado do Bosque ll. Você conhece essa região?
Quantos M² tem o YARDEN?;YARDEN posui apartamentos de 80 e 84 M².  Apartamentos com opção de 2 suites, ou 2 dormitórios + 1 suíte. Vamos agendar uma visita para você conhecer nosso decorado?
Qual a data de entrega do YARDEN?;YARDEN será entregue no primeiro semestre de 2029. Essa data atende suas expectativas?
Você tem a planta do YARDEN?;Tenho uma opção melhor. YARDEN possui um decorado que esta localizado na construtora Trifold, assim você pode conhecer o espaço e a planta integralmente. Vamos agendar sua visita?
Existe alguma promoção ou desconto disponível?;As condições de pagamento são flexíveis e podem ser personalizadas. Vamos agendar uma visita para fazer uma simulação de pagamento para você?
Qual o valor do YARDEN?;Os valores variam de acordo com a metragem escolhida, altura, 1 ou 2 vagas de garagem. Vamos agendar uma visita para que um de nossos especialistas te passe mais informações?
Tem fotos do YARDEN?;Vou te encaminhar algumas imagens, mas podemos te apresentar o projeto completo, inclusive o nosso apartamento decorado. Qual melhor horário pra você fazer essa visita?
Tem decorado?;Temos sim. Nossos decorados ficam localizados na construtora Triifold. Qual melhor horário para agendar a sua visita?
Qual endereço da Trifold;A construtora Trifold fica localizada na Av. Arquiteto Nildo Ribeiro da Rocha, 1337 - Vila Marumby, Maringá - PR, 87005-160.
É Minha Casa Minha Vida?;Para que eu possa ajuda-lo nessa questão, me responda qual valor de entrada você possui para esse investimento?
Não tenho entrada;Para a compra de algum de nossos apartamentos é necessário um valor de entrada. Você gostaria de falar com um de nossos especialistas?
;
COMPLEMENTARES - 24/02;
Sugerimos complementar:;
* Quantos andares tem o prédio?;
* YARDEN;
* 19 ANDARES;
* 2 PAVIMENTOS DE LAZER, 15 PAVIMENTOS TIPO E 2 SUBSOLOS DE GARAGEM;
VIND;
* 15 ANDARES;
* 1 TÉRREO DE LAZER, 12 PAVIMENTOS TIPO E 2 SUBSOLOS DE GARAGEM;
* ;
* Quantas unidades por andar?;
VIND E YARDEN;
 4 POR ANDAR;
;
* Quantidade de unidades/apartamentos;
* VIND;
* 48 UNIDADES;
* YARDEN;
* 60 UNIDADES;
*;
* Mais informações sobre estruturas de lazer ;
* VIND E YARDEN;
(Tem área gourmet?  SIM;
Tem piscina? SIM;
Tem academia? SIM;
Tem salão de festas? SIM;
Tem playground? SIM;
Tem portaria 24h?) SIM;
